NAME,GEO_ID,households,CountyFIPS,Annual Median Household Income,Annual Transportation Cost,Annual Housing Cost,Annual Housing and Transportation Cost,Transportation Cost as % of Annual Median Household Income,Housing Cost as % of Annual Median Household Income,Housing and Transportation Cost as % of Annual Median Household Income,'Discretionary Spending': Median Annual Household Income Minus Housing and Transportation Costs,Year
Block Group 2; Census Tract 420; Rutherford County; Tennessee,471490420002,1048.0,149.0,52520.0,12028.0,10524.0,22552.0,22.9017517136329,20.03808073115004,42.93983244478294,29968.0,2020
Block Group 4; Census Tract 405.01; Rutherford County; Tennessee,471490405014,535.0,149.0,91354.0,16773.0,12624.0,29397.0,18.360443987127002,13.818770935043895,32.17921492217089,61957.0,2020
Block Group 3; Census Tract 409.10; Rutherford County; Tennessee,471490409103,1153.0,149.0,53463.0,13338.0,16596.0,29934.0,24.948094944166993,31.04202906683127,55.990124010998265,23529.0,2020
Block Group 1; Census Tract 402; Rutherford County; Tennessee,471490402001,1385.0,149.0,77952.0,15788.0,14544.0,30332.0,20.25348932676519,18.657635467980295,38.91112479474548,47620.0,2020
Block Group 3; Census Tract 413.02; Rutherford County; Tennessee,471490413023,602.0,149.0,60039.0,12666.0,13188.0,25854.0,21.096287413181432,21.965722280517664,43.062009693699096,34185.0,2020
Block Group 3; Census Tract 409.07; Rutherford County; Tennessee,471490409073,1047.0,149.0,77051.0,12643.0,18876.0,31519.0,16.408612477450003,24.49805972667454,40.90667220412454,45532.0,2020
Block Group 1; Census Tract 403.12; Rutherford County; Tennessee,471490403121,390.0,149.0,85878.0,12254.0,17268.0,29522.0,14.269079391695193,20.107594494515478,34.376673886210675,56356.0,2020
Block Group 2; Census Tract 401.04; Rutherford County; Tennessee,471490401042,912.0,149.0,69444.0,13848.0,13488.0,27336.0,19.941247623984793,19.42284430620356,39.36409193018836,42108.0,2020
Block Group 1; Census Tract 404.05; Rutherford County; Tennessee,471490404051,1044.0,149.0,59747.0,13407.0,9720.0,23127.0,22.439620399350595,16.2685992602139,38.7082196595645,36620.0,2020
Block Group 2; Census Tract 401.02; Rutherford County; Tennessee,471490401022,370.0,149.0,69234.0,15900.0,17052.0,32952.0,22.96559493890285,24.62951728919317,47.59511222809602,36282.0,2020
Block Group 2; Census Tract 408.08; Rutherford County; Tennessee,471490408082,1155.0,149.0,95769.0,16832.0,16056.0,32888.0,17.575624680220113,16.765341603232777,34.340966283452886,62881.0,2020
Block Group 2; Census Tract 401.01; Rutherford County; Tennessee,471490401012,844.0,149.0,95822.0,16706.0,16416.0,33122.0,17.43440963453069,17.131765147878358,34.56617478240905,62700.0,2020
Block Group 1; Census Tract 407.04; Rutherford County; Tennessee,471490407041,621.0,149.0,104920.0,17424.0,17040.0,34464.0,16.606938619900877,16.240945482272206,32.84788410217308,70456.0,2020
Block Group 3; Census Tract 422; Rutherford County; Tennessee,471490422003,728.0,149.0,82596.0,13698.0,13560.0,27258.0,16.58433822461136,16.417259915734416,33.00159814034578,55338.0,2020
Block Group 2; Census Tract 407.02; Rutherford County; Tennessee,471490407022,834.0,149.0,96161.0,16455.0,13524.0,29979.0,17.111926872640677,14.063913644824824,31.175840517465502,66182.0,2020
Block Group 3; Census Tract 406; Rutherford County; Tennessee,471490406003,404.0,149.0,83333.0,17117.0,16752.0,33869.0,20.540482161928647,20.10248040992164,40.64296257185029,49464.0,2020
Block Group 4; Census Tract 403.08; Rutherford County; Tennessee,471490403084,873.0,149.0,71083.0,14309.0,15108.0,29417.0,20.12998888623159,21.254026982541536,41.38401586877312,41666.0,2020
Block Group 2; Census Tract 409.10; Rutherford County; Tennessee,471490409102,766.0,149.0,83393.0,11984.0,14268.0,26252.0,14.37051071432854,17.109349705610782,31.479860419939325,57141.0,2020
Block Group 1; Census Tract 408.07; Rutherford County; Tennessee,471490408071,1010.0,149.0,84926.0,16852.0,13152.0,30004.0,19.84315757247486,15.486423474554318,35.32958104702918,54922.0,2020
